#SampleID	Compartment	Type	Treatment
WTdu6.5-1-RACINE	RACINE	WT6.5	WT6.5-RACINE
WTdu6.5-2-RACINE	RACINE	WT6.5	WT6.5-RACINE
WTdu14.1-RACINE	RACINE	WT14	WT14.1-RACINE
WTdu14.2-RACINE	RACINE	WT14	WT14.2-RACINE
RTL1.1-RACINE	RACINE	RTL1	RTL1-RACINE
RTL1.2-RACINE	RACINE	RTL1	RTL1-RACINE
RTL1.3-RACINE	RACINE	RTL1	RTL1-RACINE
RTL1.7-RACINE	RACINE	RTL1	RTL1-RACINE
dcl1.2-1-RACINE	RACINE	dcl1	dcl1-RACINE
dcl1.2-3b-RACINE	RACINE	dcl1	dcl1-RACINE
dcl1.2-B-RACINE	SOL	dcl1	dcl1-RACINE
dcl1.2-C-RACINE	SOL	dcl1	dcl1-RACINE
hen1.4-3-RACINE	RACINE	hen1	hen1-RACINE
hen1.4-5b-RACINE	RACINE	hen1	hen1-RACINE
hen1.4-6b-RACINE	RACINE	hen1	hen1-RACINE
hen1.4-6-RACINE	RACINE	hen1	hen1-RACINE
RTL1myc.1-RACINE	RACINE	RTL1myc	RTL1myc-RACINE
RTL1myc.3-RACINE	RACINE	RTL1myc	RTL1myc-RACINE
RTL1myc.4-RACINE	RACINE	RTL1myc	RTL1myc-RACINE
RTL1myc.6-RACINE	RACINE	RTL1myc	RTL1myc-RACINE
ago1.27-2-RACINE	RACINE	ago1	ago1-RACINE
ago1.27-3-RACINE	RACINE	ago1	ago1-RACINE
ago1.27-5-RACINE	RACINE	ago1	ago1-RACINE
ago1.27-6-RACINE	RACINE	ago1	ago1-RACINE
WTdu6.5-B-SOL	SOL	WT6.5	WT6.5-SOL
WTdu6.5-C-SOL	SOL	WT6.5	WT6.5-SOL
WTdu14.1-SOL	SOL	WT14	WT14.1-SOL
WTdu14.3-SOL	SOL	WT14	WT14.1-SOL
RTL1.B-SOL	SOL	RTL1	RTL1-SOL
RTL1.D-SOL	SOL	RTL1	RTL1-SOL
RTL1.Db-SOL	SOL	RTL1	RTL1-SOL
RTL1.E-SOL	SOL	RTL1	RTL1-SOL
dcl1.2-3-SOL	RACINE	dcl1	dcl1-SOL
dcl1.2-4-SOL	RACINE	dcl1	dcl1-SOL
dcl1.2-D-SOL	SOL	dcl1	dcl1-SOL
dcl1.2-E-SOL	SOL	dcl1	dcl1-SOL
hen1.4-B-SOL	SOL	hen1	hen1-SOL
hen1.4-C-SOL	SOL	hen1	hen1-SOL
hen1.4-D-SOL	SOL	hen1	hen1-SOL
hen1.4-E-SOL	SOL	hen1	hen1-SOL
RTL1myc.A-SOL	SOL	RTL1myc	RTL1myc-SOL
RTL1myc.C-SOL	SOL	RTL1myc	RTL1myc-SOL
RTL1myc.D-SOL	SOL	RTL1myc	RTL1myc-SOL
RTL1myc.E-SOL	SOL	RTL1myc	RTL1myc-SOL
ago1.27-B-SOL	SOL	ago1	ago1-SOL
ago1.27-C-SOL	SOL	ago1	ago1-SOL
ago1.27-D-SOL	SOL	ago1	ago1-SOL
ago1.27-E-SOL	SOL	ago1	ago1-SOL
SOL.CTRL-A-SOL	SOL	Control	Control-SOL
SOL.CTRL-C-SOL	SOL	Control	Control-SOL
SOL.CTRL-D-SOL	SOL	Control	Control-SOL
SOL.CTRL-E-SOL	SOL	Control	Control-SOL
